"","CS","TS","Y1","Y2","Y3","Z_1_1","Z_2_1","Z_1_2","Z_2_2","Z_1_3","Z_2_3","U_1_1","U_1_2","U_1_3"
"22","cs_1",22,0.150835840568157,0.304941662157707,0.544222497274135,-0.452027848285287,0.386947783509575,1.25899158264452,0.00335510481060312,0.136623910897974,-3.61091470911233,1.61098691528179,-55.2515924865364,3.05795039835181
"23","cs_1",23,0.493092292369141,0.244298265335062,0.262609442295796,-0.61663107571238,0.306405441829372,1.23701699893624,-0.0334256781841661,0.181534223908071,-3.61502949781312,1.5851937915468,-55.3646038785331,3.04174111431902
"24","cs_1",24,0.510714361546085,0.146783565211769,0.342502073242146,-0.583808414233374,0.365547939511142,1.26095476087078,-0.00920715357218915,0.0534288837731564,-3.60353496948221,1.61665545623241,-55.2939029242091,3.05291809067334
"25","cs_1",25,0.357392199645389,0.443322257010553,0.199285543344057,-0.564644099875804,0.339215609294063,1.33894727801522,-0.0687076814123808,0.216712687748735,-3.53938319227919,1.61861063996204,-55.3339429428045,2.97870487821757
"26","cs_1",26,0.241605038526909,0.170170917274244,0.588224044198847,-0.561902984319648,0.32440616072976,1.19490924817751,0.0551137565099907,0.117905186310596,-3.67635208288658,1.68396544916515,-55.3926831051938,3.01285495640896
"27","cs_1",27,0.0932546052416965,0.392909069488783,0.513836325269521,-0.49204553235149,0.315261134311362,1.24361523766974,-0.0156292885537215,0.280256371809421,-3.60708435282867,1.63270629928933,-55.2816395451073,2.99923398711174
"28","cs_1",28,0.0619469937419033,0.0559509584984121,0.882102047759685,-0.484652116330736,0.249112043382815,1.16826957321544,0.0210685486075634,0.152480784710877,-3.5779345462698,1.66617212393869,-55.2931061371296,3.12405183302843
"29","cs_1",29,0.598288980027815,0.121019198996732,0.280691820975453,-0.531244959070409,0.332742395786556,1.21739323966747,-0.0756692984911745,0.0766513743852016,-3.63537421126427,1.60350483382085,-55.2940140150423,3.04146921486152
"30","cs_1",30,0.380065025420763,0.301832088917958,0.31810288566128,-0.549678568115014,0.34553165773232,1.2198361636825,0.0233562791566514,0.0803312269516571,-3.63361798640523,1.63919170015855,-55.2783379245766,3.11080871206917
"31","cs_1",31,0.386201917438413,0.49357125144026,0.120226831121327,-0.585591819207678,0.309889314410855,1.2268449301749,-0.0389060887581055,0.163295818866386,-3.66719872860405,1.61223513910492,-55.2450222934468,3.14716024951426
"32","cs_1",32,0.367858986094241,0.117249006272405,0.514892007633353,-0.611404415707567,0.272960122270547,1.24191527424094,0.0827732702199906,0.186852481184523,-3.58449605426384,1.63319861108815,-55.2788656764425,3.06174697897416
"33","cs_1",33,0.102255678000667,0.345993459158267,0.551750862841066,-0.545299214482,0.348960172525797,1.2409204304848,-0.0429346601466886,0.112142595935126,-3.58764700858565,1.58370126678059,-55.3199673438103,3.08552966474728
"34","cs_1",34,0.296536719364909,0.0765121682426869,0.626951112392404,-0.557825435215687,0.372663056988313,1.19632633684122,0.0311499443497089,0.19475740534085,-3.54590849304162,1.56292935801307,-55.3258855142627,2.98378234345986
"35","cs_1",35,0.244142837941961,0.532219835238232,0.223637326819807,-0.457971412270855,0.301998125291499,1.1857563287599,-0.0940375533787353,0.146710933283831,-3.60364509540026,1.72833010391687,-55.2957356913187,3.03040223055367
"36","cs_1",36,0.455763803201941,0.0967376948979856,0.447498501900074,-0.675934090334253,0.376836609817439,1.26232115132722,-0.0276291172091973,0.153017640467061,-3.52689016790195,1.65850487586309,-55.2736447023377,3.0741464618988
"37","cs_1",37,0.118928865934641,0.202901290615007,0.678169843450351,-0.595935684681332,0.292149252770958,1.1894305967874,0.0890397938222553,0.213606941830057,-3.55724317731685,1.56590586659822,-55.3411295693018,3.08629006459647
"38","cs_1",38,0.220883575973033,0.510278488729784,0.268837935297183,-0.509197078067378,0.312311033241775,1.17940136384554,0.0561313403814934,0.142986307224123,-3.58030118399638,1.59791113884545,-55.2983609951088,3.03336581356472
"39","cs_1",39,0.238061452546981,0.419584942456771,0.342353604996248,-0.621511532164939,0.335614857581783,1.15507446638487,-0.00388235678167033,0.177517863777192,-3.65104692041917,1.5691954304496,-55.2407821886583,3.205578669391
"40","cs_1",40,0.201401911964621,0.40235280912146,0.396245278913919,-0.567420214674165,0.32683789288932,1.21443080936899,-0.0445878078491892,0.0709381214501204,-3.56687175432212,1.73840995212365,-55.2945595562284,3.04841621247504
"41","cs_1",41,0.22956969231585,0.245816452650419,0.524613855033731,-0.541211626495896,0.308016682004705,1.18637119708037,0.0124026857256128,0.0808878206571365,-3.59887907128049,1.69409008350114,-55.3240665850464,3.07454789726116
"42","cs_1",42,0.323796839312814,0.18797994444236,0.488223216244826,-0.528256819126271,0.315525355503388,1.25164340876251,-0.0686825637992269,0.169865738283574,-3.57076988618941,1.61521218184465,-55.3029428100879,3.10382531278734
"43","cs_1",43,0.203674890989799,0.233059019518653,0.563266089491548,-0.543886548356428,0.381391634251793,1.20062089836525,0.0516650852993027,0.166824659091898,-3.63560594601956,1.65562913764107,-55.2334131243986,3.07003478769096
"44","cs_1",44,0.325150464189037,0.391992709614284,0.282856826196679,-0.538716572010522,0.310253104317764,1.19116815232693,0.0252093594556757,0.206671640210931,-3.51203156735939,1.60775243728352,-55.261643353606,3.03915735007831
"45","cs_1",45,0.243896678671491,0.225849567553323,0.530253753775186,-0.503035265629658,0.376224876392432,1.24272003882903,0.0272365141386127,0.20141228766243,-3.6961458007709,1.60465708994869,-55.2273117616626,3.12360100262783
"46","cs_1",46,0.112733632024764,0.0730683927789311,0.814197975196305,-0.533055798576809,0.338486270349898,1.25077149429938,0.00770933032315955,0.227332156486305,-3.60176605301402,1.58903929278695,-55.2821906588086,3.15211298559002
"47","cs_1",47,0.452990246539232,0.26085746857422,0.286152284886549,-0.591870950354181,0.394582306020826,1.19742478464621,-0.11831268422942,0.183599061182122,-3.56786159391115,1.59873857130649,-55.2686317968422,3.06985102087717
"48","cs_1",48,0.379680628044678,0.131843203118891,0.488476168836431,-0.590488625909569,0.435916333245155,1.21346155940184,0.0353589981900279,0.152519043555822,-3.60272641558714,1.7110148080463,-55.3170683972841,3.09944908669981
"49","cs_1",49,0.431740231551591,0.397054305146926,0.171205463301483,-0.483845115242953,0.314764665639302,1.24487855236922,-0.013919154193634,0.208311200682703,-3.56338315958039,1.62576802842519,-55.2588770182202,3.06646509450453
"50","cs_1",50,0.542801959728169,0.147152674728328,0.310045365543502,-0.611796691567552,0.291029355409361,1.30708375581457,0.0281659843534698,0.206866459518369,-3.47981692094319,1.63443169650085,-55.3144622287761,3.12215848031477
"51","cs_1",51,0.342471928283398,0.425862302451115,0.231665769265487,-0.547631461094386,0.314215089671207,1.22442440324876,0.0774581023454545,0.190574140400862,-3.58859419783544,1.64065380615942,-55.3601738269015,3.01352734971667
"52","cs_1",52,0.427163278840215,0.292586002076187,0.280250719083598,-0.577852776522099,0.278968755231075,1.18218529925985,-0.00867216782420704,0.0468216916873766,-3.4643775555424,1.69009322860373,-55.2827459033825,3.18737873062938
"53","cs_1",53,0.157358987999303,0.581839622739537,0.260801389261159,-0.562727032792659,0.287304460121472,1.3379812343283,0.014401222733073,0.133219506126342,-3.48022651994993,1.60266624313223,-55.1918529907801,3.04115915704024
"54","cs_1",54,0.681993224691996,0.143751609683544,0.17425516562446,-0.643872743381619,0.307538357579938,1.29978703139623,-0.0580805688736976,0.176085525616407,-3.52204174575986,1.57884407715986,-55.249099834688,2.99839324870776
"55","cs_1",55,0.31496757210685,0.279375269409074,0.405657158484076,-0.514525816099174,0.297782335463906,1.20858277022367,0.0327659585538702,0.151867831157346,-3.5733897179698,1.71225428129963,-55.2308828821694,3.05378982807001
"56","cs_1",56,0.487007313320242,0.193129708774873,0.319862977904885,-0.530077430440961,0.245655548179868,1.2331105375861,-0.0364370496035133,0.168051246198271,-3.60826929067338,1.6064112738342,-55.271202765512,3.07867114363691
"57","cs_1",57,0.142746213093902,0.179109204916957,0.678144581989141,-0.56325374482844,0.352520043791499,1.21907157405708,-0.0400262692835705,0.151333655985033,-3.54832153891249,1.59231613618247,-55.3195734105825,3.15251677981367
"58","cs_1",58,0.172894748471188,0.393299206668397,0.433806044860415,-0.545417978443877,0.331833493301773,1.25374377658803,0.0680835178650609,0.147280439867583,-3.70084738042674,1.5666557787353,-55.2992575944222,3.11689620326823
"59","cs_1",59,0.669134004059959,0.0451627851216143,0.285703210818426,-0.592510946967481,0.284064466292647,1.10685922550144,0.0756294364870357,0.147558884774666,-3.57197372542789,1.56423364856358,-55.3028079570073,3.07845864103195
"60","cs_1",60,0.481585166063848,0.392032319381295,0.126382514554857,-0.611682086082458,0.332432013449332,1.15605638548539,0.0365832268211602,0.18817613303373,-3.56813486483083,1.59977076071457,-55.3125805406558,3.00186154323025
"61","cs_1",61,0.132970291747263,0.681368691483343,0.185661016769393,-0.607849377261453,0.302021811409292,1.25110374223294,0.0038502719669569,0.0727482711727035,-3.58052615280414,1.65936872553779,-55.2539371874702,3.02803383219606
"62","cs_1",62,0.336445717553662,0.307357595982736,0.356196686463602,-0.573280256162125,0.418742783855936,1.18585291248282,0.0221108144341311,0.205746307713511,-3.53513432163132,1.68396184162595,-55.3490137267849,3.0631714728182
"63","cs_1",63,0.209240208684494,0.203247564256821,0.587512227058684,-0.593073141636986,0.338319012208569,1.24004954536153,0.0580099043694638,0.146105283663952,-3.61505788501384,1.66384885237125,-55.245827245061,3.19898702510269
"64","cs_1",64,0.17418683715008,0.518498627891962,0.307314534957958,-0.556577604074027,0.278456851887819,1.11549176113071,-0.0679742000309227,0.23174523881006,-3.68235965799367,1.6102865698247,-55.2459379273554,2.97832434071874
"65","cs_1",65,0.202459396509527,0.127540766798772,0.669999836691701,-0.564041050858393,0.398777226515493,1.28962872738522,0.0661762057276059,0.135511848370501,-3.57609015173683,1.6314569315487,-55.3490766696201,3.12788845202196
"66","cs_1",66,0.215959805330604,0.283837255752426,0.500202938916971,-0.537900443898252,0.328611329693973,1.2398730577712,0.0496036837275816,0.0764646589470963,-3.58498186258311,1.59323961149546,-55.2571709517716,3.04497400656797
"67","cs_1",67,0.372489299983237,0.406642545043116,0.220868154973647,-0.581600488169194,0.2238873225173,1.26396735620786,-0.119201376551255,0.251246548268767,-3.59916628837652,1.59260852660077,-55.1676342190494,3.15463526442903
"68","cs_1",68,0.150836621062009,0.613149734577759,0.236013644360232,-0.503908785881504,0.253517680048085,1.27362246515775,-0.0104046164560877,0.143430645967978,-3.575217670003,1.67270195962831,-55.3170063257637,3.01437568743099
"69","cs_1",69,0.611944396432231,0.258653696148401,0.129401907419368,-0.523478271008346,0.4220048620552,1.22963945185737,-0.000913126672150306,0.143399738676792,-3.55829323700075,1.57768980574929,-55.2469003395963,3.0785168811628
"70","cs_1",70,0.624975530784048,0.0818463285552245,0.293178140660727,-0.632670304600803,0.361638900363061,1.26170685802975,-0.00357885907575199,0.202575120438642,-3.5988286726432,1.72623413295409,-55.3282556439476,3.01635817234452
"71","cs_1",71,0.214603397849692,0.374216917579521,0.411179684570788,-0.573585521022336,0.247942475637051,1.24403379862022,-0.0056894855599204,0.0985187393286712,-3.66487429207766,1.62395345498117,-55.2336099807565,3.11651154074774
"72","cs_1",72,0.198392088878489,0.257278889236062,0.544329021885449,-0.6362090292413,0.246472874915596,1.16346924987074,0.0743452888940418,0.127703478933392,-3.55909423067721,1.63919637601093,-55.2766543156703,3.14552469386657
"73","cs_1",73,0.39207598215264,0.304404988439441,0.303519029407919,-0.587020972660728,0.253461904344531,1.25515361088953,0.100057875329851,0.0594430884833113,-3.69327951364133,1.59154304944249,-55.2065497820855,3.16887176974972
"74","cs_1",74,0.363996704089683,0.12675320829712,0.509250087613197,-0.526079807903421,0.431555130620609,1.22136630695478,0.0700949006634372,0.124664355978152,-3.57924351330567,1.5997500001913,-55.3620940880935,3.11121575230914
"75","cs_1",75,0.398718478945444,0.263147902030785,0.338133619023771,-0.624827170353972,0.365936625968085,1.31687956302677,-0.00022934237991977,0.111675044807908,-3.5546258038499,1.5626186280642,-55.2917104459729,3.16349903215855
"76","cs_1",76,0.27955751975539,0.602616863509455,0.117825616735155,-0.522023534502167,0.343159812541832,1.15196105468805,0.00187718501512275,0.174021845723917,-3.60749523661663,1.61932316526083,-55.3154918104729,3.13365691486274
"77","cs_1",77,0.123843046596465,0.314643613667293,0.561513339736242,-0.610894476966063,0.320577053262793,1.20740654832654,0.0214287885974945,0.198294754042747,-3.57954499756373,1.64941855492569,-55.2990087951205,3.06474197383846
"78","cs_1",78,0.494757275147931,0.16631554473898,0.338927180113089,-0.574495413310725,0.35469916025535,1.30372385919178,-0.00246243125323885,0.13505659585555,-3.58740750898379,1.64468465188754,-55.320624488801,3.0951875813439
"79","cs_1",79,0.219539222531035,0.0778224915183967,0.702638285950568,-0.579097584357404,0.375398352928607,1.23675884311606,0.002460560127252,0.189729015115037,-3.5811490884616,1.58939261032673,-55.3308377306934,3.02273600885586
"80","cs_1",80,0.343073501189139,0.348764217559433,0.308162281251427,-0.579204689440563,0.379185256873292,1.21913114575206,0.0295476465473417,0.124452836818684,-3.55620314545149,1.58903833613677,-55.2602094329358,3.06207561095961
"81","cs_2",1,0.464872467122997,0.21147229321366,0.323655239663343,0.400706586921339,1.13374476924476,-1.12613689325611,-1.15702435987874,0.202919294293268,-3.59716289435163,-1.12749614518862,-51.3632820219791,-2.35875245493877
"82","cs_2",2,0.392970080774412,0.45360415970949,0.153425759516098,0.426170481563888,1.14164108923719,-1.15305151640607,-1.06488745731284,0.09923919152741,-3.63136706401082,-1.28194093229459,-51.3101345041807,-2.23344937366728
"83","cs_2",3,0.489974211873405,0.122314194424584,0.387711593702012,0.461861930197776,1.1337307885439,-1.2490606911185,-1.12161166631579,0.176114221985391,-3.72464398686668,-1.1287555974117,-51.364618229783,-2.38545756941819
"84","cs_2",4,0.27653730751521,0.411633667812798,0.311829024671991,0.411181860699073,1.11498069032494,-1.1510773513008,-1.13069696515074,0.196569678312871,-3.68620412521529,-1.25559535120571,-51.3767416261327,-2.30217781181217
"85","cs_2",5,0.307686951783682,0.409236654040719,0.283076394175599,0.407783890351298,1.13575836258803,-1.1593260728096,-1.19321586380197,0.142904012361367,-3.61736456915328,-1.11418424499373,-51.4191538011105,-2.31636995964507
"86","cs_2",6,0.40834530251257,0.131107285453133,0.460547412034297,0.299013918083494,1.07095505984251,-1.2221451710974,-1.17399505709335,0.206460933521665,-3.59840415452085,-1.16987015050742,-51.3579217181462,-2.33944084617382
"87","cs_2",7,0.232995645291838,0.279754414203555,0.487249940504606,0.411076361280867,1.12593245596,-1.01268889770981,-1.11403752527324,0.146904415965708,-3.57293982983075,-1.18192130510011,-51.4398701714342,-2.33090620270204
"88","cs_2",8,0.473216544715202,0.278784881286706,0.247998573998092,0.354657240368093,1.03961973590107,-1.05284757998633,-1.11777436976401,0.100456731410926,-3.617641563077,-1.147516778997,-51.4689990959137,-2.26450696801611
"89","cs_2",9,0.32691873893261,0.352056403594785,0.321024857472605,0.396982245782793,1.17187143298794,-1.07941305237958,-1.11837881495476,0.200686679910836,-3.57367293922469,-1.07852186158916,-51.3885092831144,-2.28299953725719
"90","cs_2",10,0.136067646467596,0.499472707047258,0.364459646485146,0.503362638374843,1.13727380501776,-1.11285656618941,-1.19264907437956,0.0780326238828215,-3.57594880190314,-1.17894061769926,-51.3880713199796,-2.29205346731904
"91","cs_2",11,0.154814247950875,0.558755573028999,0.286430179020126,0.48935994880985,1.14334775258502,-1.16327292464384,-1.24356463549848,0.0729279779902618,-3.63776216045966,-1.11926929914093,-51.2680888680895,-2.39304902447549
"92","cs_2",12,0.182453965552048,0.234462012685396,0.583084021762557,0.420477311991442,1.15543791037066,-1.13691707347167,-1.11855485188688,0.202353478413298,-3.72039887904597,-1.13011657041727,-51.4471590100843,-2.34322687127118
"93","cs_2",13,0.489775673700145,0.235727222011192,0.274497104288663,0.371171844515419,1.13661073405848,-1.08503005995137,-1.15876600045694,0.0528567496764064,-3.54277798663236,-1.20615039529544,-51.3777963285222,-2.28357619131953
"94","cs_2",14,0.466252590358319,0.0314376685613521,0.502309741080329,0.460123091718077,1.10171035536061,-1.16400756863876,-0.998996763513785,0.101067820017815,-3.54566126934473,-1.23422556470506,-51.3460889900086,-2.32091259334705
"95","cs_2",15,0.18197921704103,0.326110116062388,0.491910666896582,0.398620403284066,1.08180810718026,-1.09979191121515,-1.09249387043575,0.133394949182643,-3.58645783635553,-1.24680375240032,-51.3338120024839,-2.31684928221194
"96","cs_2",16,0.342108997984492,0.179504529581913,0.478386472433595,0.432418316600932,1.16043663382267,-1.15351021981104,-1.16542051703244,0.18247140370191,-3.64040721374168,-1.11961075326497,-51.3868778689226,-2.22453380004651
"97","cs_2",17,0.749316812962249,0.0996624001837192,0.151020786854032,0.447118074339669,1.07820614312738,-1.11419583289233,-1.0796965200823,0.126577913063118,-3.62860147875596,-1.14891156691493,-51.4235044517611,-2.26823141827053
"98","cs_2",18,0.350259177482464,0.385305198888254,0.264435623629282,0.420062458516203,1.09199376012073,-1.15219991505048,-1.12084185234056,0.282611673021567,-3.6015392668188,-1.05464587865783,-51.3896308472832,-2.32920306677833
"99","cs_2",19,0.245624692264859,0.671272450969281,0.0831028567658605,0.414681474342663,1.20632784070353,-1.24136691949368,-1.18888535738379,0.165447480376002,-3.62488429732073,-1.11849070842521,-51.2893538450928,-2.3004456364465
"100","cs_2",20,0.579112226627195,0.171220749747169,0.249667023625636,0.389524442431751,1.17503081075016,-1.20122664161583,-1.10785449981186,0.129717927087717,-3.53890888683081,-1.10468966928423,-51.3622046942809,-2.29125600977394
"101","cs_2",21,0.240503481555446,0.443780277372001,0.315716241072553,0.37721727757428,1.11527023418071,-1.14484884219168,-1.18304133978005,0.124863275743578,-3.60683980513564,-1.08045528457162,-51.4885654983176,-2.31102559475815
"102","cs_2",22,0.303929816684336,0.225193636508664,0.470876546807,0.436636794307795,1.10524103118033,-1.06817119546774,-1.10770899276771,0.160655567427501,-3.62943280752557,-1.17221041873661,-51.3151686882572,-2.32521351622112
"103","cs_2",23,0.418740795889124,0.332603054729582,0.248656149381294,0.329552465021193,1.20245506646389,-1.18152724795104,-1.14212931129923,0.239760667029299,-3.67926960088474,-1.12166956742694,-51.3593165116439,-2.27960103979641
"104","cs_2",24,0.179750343112404,0.244214212972081,0.576035443915515,0.432718568672457,1.11001467267522,-1.19804841620328,-1.18730338689027,0.242372108212729,-3.62542621471764,-1.10373480032616,-51.3880202332816,-2.23995109972041
"105","cs_2",25,0.405073154665708,0.207626940868314,0.387299904465979,0.314996767411934,1.23430713327319,-1.05579730592032,-1.09101623811319,0.209663441562922,-3.70780549082405,-1.07870687943821,-51.3872348257452,-2.26566823551803
"106","cs_2",26,0.218145645959515,0.121460420619802,0.660393933420683,0.584219247842042,1.149570665071,-1.08117525000433,-1.19206782999623,0.18961149029187,-3.56402505702484,-1.10904190652205,-51.3938311306793,-2.28701818633218
"107","cs_2",27,0.309105513090314,0.481479241922633,0.209415244987053,0.457191039154024,1.20042466030693,-1.23069776129145,-1.22230754488092,0.0782466106424435,-3.64626281419816,-1.1261171051865,-51.3735136706419,-2.25761982345795
"108","cs_2",28,0.390460202434483,0.312361626431842,0.297178171133674,0.379610485101534,1.1216368332254,-1.08899836154629,-1.17805102998797,0.151483701493959,-3.55065484883383,-1.19058566620193,-51.4115349913415,-2.23731491734382
"109","cs_2",29,0.266342307317672,0.0671725812521169,0.666485111430211,0.328344654946205,1.10236773308963,-1.24475659505607,-1.17253201006553,0.103507494019014,-3.61905292022635,-1.11069644579048,-51.3724910821067,-2.28403653360881
"110","cs_2",30,0.307501200803406,0.224587657895826,0.467911141300768,0.44582119592277,1.12466084524118,-1.06611422672144,-1.13134920365373,0.220374805969315,-3.66421398231625,-1.12216117021745,-51.4329094459307,-2.2542205757491
"111","cs_2",31,0.432995904685215,0.41089256209867,0.156111533216114,0.403990130069311,1.1335686671281,-1.17768911495414,-1.24081846828296,0.189197158256291,-3.58540821081194,-1.11546195115302,-51.3763343009259,-2.33428948105069
"112","cs_2",32,0.362611900894923,0.385008545732116,0.252379553372961,0.321517357653684,1.18107814141481,-1.17795354905951,-1.16179625211364,0.0865167327926315,-3.64124001238237,-1.12599221155975,-51.3309997736564,-2.28949337010484
"113","cs_2",33,0.358180608309509,0.163276017453358,0.478543374237133,0.342526062331693,1.12876813658244,-1.09222250273207,-1.26051964341922,0.180971334735558,-3.59539864863807,-1.15726636607386,-51.360881339007,-2.2980257494711
"114","cs_2",34,0.317134743131649,0.2718449697805,0.411020287087851,0.392772533675523,1.12826695386041,-1.08546610001396,-1.16324974935031,0.213062373093822,-3.63793581837826,-1.15101775876006,-51.3346541608671,-2.26722761051839
"115","cs_2",35,0.182490047997598,0.569391298433965,0.248118653568437,0.487699004015254,1.11009364880745,-1.10813723929738,-1.24618541384145,0.056083074401474,-3.55545527394977,-1.11280625817429,-51.4408850827798,-2.25914486000424
"116","cs_2",36,0.0598396070092506,0.572469211870708,0.367691181120041,0.37554582699287,1.06321394495603,-1.16995890678378,-1.18593434514299,0.111376378298741,-3.60182959393255,-1.13859288849214,-51.383602005466,-2.28319173464626
"117","cs_2",37,0.325267944437268,0.482732617017778,0.191999438544954,0.374415802697902,1.08088740933484,-1.08443162036222,-1.11211393330994,0.227759549913038,-3.62036732288924,-1.18867989255471,-51.3554791295536,-2.31532154683588
"118","cs_2",38,0.220547753914641,0.54566321922923,0.233789026856129,0.435098016590879,1.09604643240283,-1.11487166481525,-1.08331202659852,0.219285225590297,-3.6627036027703,-1.16168241982865,-51.4397418880763,-2.32349654653563
"119","cs_2",39,0.180103853430523,0.263488777216779,0.556407369352698,0.429902808529871,1.13187527031083,-1.16239674776494,-1.11289577599102,0.18808302102626,-3.59550665968013,-1.21313075004719,-51.3080509278367,-2.26308480516629
"120","cs_2",40,0.157901929762858,0.299701749522697,0.542396320714445,0.343022597782924,1.09966625541709,-1.1384231892672,-1.19688974048853,0.104968882252875,-3.67184706721816,-1.19552605897181,-51.4380820452389,-2.20916899308262
"121","cs_2",41,0.263506715372495,0.187718566573044,0.548774718054461,0.458956329531348,1.18435044900095,-1.09045718586113,-1.09446761913724,0.145639642400173,-3.59508838215098,-1.15440501734514,-51.3781157092644,-2.31636761544288
"122","cs_2",42,0.237782472522984,0.490239097420703,0.271978430056313,0.514979370493496,1.13901762928323,-1.09271366696843,-1.18899280845082,0.155679800072182,-3.5810038191621,-1.23708109165711,-51.3787500281719,-2.29625076931125
"123","cs_2",43,0.18991161745173,0.673509686073046,0.136578696475224,0.339909366079358,1.10077579335247,-1.16011556948542,-1.09463884333941,0.118783180921612,-3.63342680638316,-1.23160158756794,-51.3802581295913,-2.2604768076838
"124","cs_2",44,0.373231743116344,0.0714746301076595,0.555293626775996,0.435125132020472,1.23420346144796,-1.11898486745678,-1.12204393671366,0.153654353176829,-3.63492607885477,-1.09204620386656,-51.3968628738718,-2.30474185819954
